KOR_1,KOR_18,KOR_2,KOR_3,KOR_4,KOR_5,KOR_6,KOR_7,KOR_8,KOR_9,CPI_China,CPI_Euro,CPI_G20,CPI_G7,CPI_OECD,China_exports,China_imports,China_trade_balance,Euro_Composite_business_confidence,Euro_Composite_consumer_confidence,G20_Composite_business_confidence,G20_Composite_consumer_confidence,G20_Composite_leading_indicator,G20_exports,G20_imports,G20_trade_balance,G7_Composite_business_confidence,G7_Composite_consumer_confidence,G7_Composite_leading_indicator,G7_exports,G7_imports,G7_trade_balance,OECD_Composite_business_confidence,OECD_Composite_consumer_confidence,OECD_exports,OECD_imports,OECD_trade_balance,WGS10YR,WTB1YR,WTB6MS,WCURRNS,WDDNS,MORTGAGE30US,FF,WPCREDIT,WPRIME,CURRCIR,EXPINF1YR,EXPINF2YR,EXPINF30YR,IRLTLT01USM156N,LNU02000000,LNU02300000,REAINTRATREARAT10Y,REAINTRATREARAT1YE,UNRATENSA,DEXKOUS,DJIA,NASDAQCOM,KOR_10,KOR_11,KOR_12,KOR_13,KOR_14,KOR_15,KOR_16,KOR_17
175515.4387,21.93967742,19473.96129,754242.8323,24.68258065,23.47,24.34322581,23.16709677,21.78767742,21.78767742,23.20322581,22.80580645,23.29785484,22.91465484,23.05282903,46.42765806,36.87109032,9.556560968,22.84160645,22.84605806,22.59022903,22.70464516,22.58188968,242.7259032,238.8201935,3.905734516,22.74529355,22.78930645,22.58544194,97.22000968,107.6953613,-10.47534935,22.70049355,22.70491935,178.9648968,186.0621581,-7.097244839,2.51,0.83,0.62,1429.7,1516.5,4.32,0.66,1.25,3.75,338.7325484,0.511391323,0.448768058,0.503668361,0.560322581,34235.96774,13.44516129,0.158980345,-0.480239223,1.035483871,1207.67,19840.275,5435.3025,2032.7175,623.0625,1.482,1.53,1.6484,1.8094,1.5734,1.25
176454.4194,22.21258065,20038.96774,758508.8903,24.93806452,23.91516129,23.79548387,20.3316129,21.98587097,21.98587097,23.41612903,22.63935484,23.36534516,22.96503548,23.12815806,41.26667097,29.67304516,11.59361903,22.86949677,22.84809032,22.60966129,22.71567742,22.60232258,228.3226129,233.9716129,-5.64915129,22.78818387,22.80688065,22.60948065,91.69004194,111.2321677,-19.54212355,22.72455161,22.7039129,171.601929,189.4256226,-17.82370032,2.43,0.84,0.62,1427.2,1556.1,4.20,0.60,1.25,3.75,339.7436452,0.474810406,0.430940142,0.500497652,0.548709677,33989.96774,13.36774194,0.1638567,-0.309551087,1.151612903,1196.6525,19921.7525,5478.77,2041.368,638.912,1.446,1.51,1.6236,1.7896,1.5198,1.25
176454.4194,22.21258065,20038.96774,758508.8903,24.93806452,23.91516129,23.79548387,20.3316129,21.98587097,21.98587097,23.41612903,22.63935484,23.36534516,22.96503548,23.12815806,41.26667097,29.67304516,11.59361903,22.86949677,22.84809032,22.60966129,22.71567742,22.60232258,228.3226129,233.9716129,-5.64915129,22.78818387,22.80688065,22.60948065,91.69004194,111.2321677,-19.54212355,22.72455161,22.7039129,171.601929,189.4256226,-17.82370032,2.38,0.80,0.59,1423.2,1333.9,4.12,0.66,1.25,3.75,339.7436452,0.474810406,0.430940142,0.500497652,0.548709677,33989.96774,13.36774194,0.1638567,-0.309551087,1.151612903,1188.76,19894.784,5553.78,2066.6,636.866,1.412,1.49,1.6444,1.8232,1.4982,1.25
176454.4194,22.21258065,20038.96774,758508.8903,24.93806452,23.91516129,23.79548387,20.3316129,21.98587097,21.98587097,23.41612903,22.63935484,23.36534516,22.96503548,23.12815806,41.26667097,29.67304516,11.59361903,22.86949677,22.84809032,22.60966129,22.71567742,22.60232258,228.3226129,233.9716129,-5.64915129,22.78818387,22.80688065,22.60948065,91.69004194,111.2321677,-19.54212355,22.72455161,22.7039129,171.601929,189.4256226,-17.82370032,2.43,0.79,0.61,1422.6,1322.9,4.09,0.66,1.25,3.75,339.7436452,0.474810406,0.430940142,0.500497652,0.548709677,33989.96774,13.36774194,0.1638567,-0.309551087,1.151612903,1169.79,19787.96333,5544.82,2068.996,625.416,1.41,1.49,1.6484,1.834,1.4918,1.25
176454.4194,22.21258065,20038.96774,758508.8903,24.93806452,23.91516129,23.79548387,20.3316129,21.98587097,21.98587097,23.41612903,22.63935484,23.36534516,22.96503548,23.12815806,41.26667097,29.67304516,11.59361903,22.86949677,22.84809032,22.60966129,22.71567742,22.60232258,228.3226129,233.9716129,-5.64915129,22.78818387,22.80688065,22.60948065,91.69004194,111.2321677,-19.54212355,22.72455161,22.7039129,171.601929,189.4256226,-17.82370032,2.48,0.77,0.60,1422.9,1383.8,4.19,0.66,1.25,3.75,339.7436452,0.474810406,0.430940142,0.500497652,0.548709677,33989.96774,13.36774194,0.1638567,-0.309551087,1.151612903,1168.108,19995.152,5625.24,2070.57,613.8425,1.42,1.49,1.6505,1.83175,1.487,1.25
189051.7091,23.98038018,21697.34793,817645.4151,26.56801843,25.34361751,25.66835253,22.56974654,23.71596313,23.71596313,25.17246544,24.44160138,25.19509862,24.77684942,24.95697373,33.23315599,31.55420933,1.678948295,24.64240979,24.58747224,24.35843894,24.46946141,24.34946717,240.1993001,245.7706394,-5.571414654,24.56058825,24.55273376,24.35708376,102.3248334,114.8981729,-12.57332994,24.48587189,24.44567154,189.4597297,198.13491,-8.675185806,2.48,0.80,0.63,1422.8,1513.2,4.19,0.65,1.25,3.75,365.7580058,0.482583991,0.450456326,0.539830597,0.588917051,36781.7765,14.46221198,0.185098629,-0.299493971,1.204032258,1150.344,19936.506,5634.824,2073.055,615.515,1.4275,1.49,1.67975,1.865,1.48525,1.25
194090.625,24.6875,22360.7,841300.025,27.22,25.915,26.4175,23.465,24.408,24.408,25.875,25.1625,25.927,25.501575,25.6885,30.01975,32.306675,-2.28692,25.351575,25.283225,25.05795,25.170975,25.048325,244.949975,250.49025,-5.54032,25.26955,25.251075,25.056125,106.57875,116.364575,-9.7858125,25.1904,25.142375,196.60285,201.618625,-5.01578,2.39,0.78,0.62,1427.3,1330.8,4.17,0.66,1.25,3.75,376.16375,0.485693425,0.4582628,0.555563775,0.605,37898.5,14.9,0.1935954,-0.295471125,1.225,1143.534,20127.764,5693.906,2071.782,610.018,1.404,1.49,1.6542,1.8392,1.4586,1.25
194090.625,24.6875,22360.7,841300.025,27.22,25.915,26.4175,23.465,24.408,24.408,25.875,25.1625,25.927,25.501575,25.6885,30.01975,32.306675,-2.28692,25.351575,25.283225,25.05795,25.170975,25.048325,244.949975,250.49025,-5.54032,25.26955,25.251075,25.056125,106.57875,116.364575,-9.7858125,25.1904,25.142375,196.60285,201.618625,-5.01578,2.46,0.80,0.65,1430.2,1292.2,4.15,0.66,1.25,3.75,376.16375,0.485693425,0.4582628,0.555563775,0.605,37898.5,14.9,0.1935954,-0.295471125,1.225,1143.45,20554.45,5803.89,2079.9,614.942,1.4,1.49,1.6576,1.8492,1.4602,1.25
194090.625,24.6875,22360.7,841300.025,27.22,25.915,26.4175,23.465,24.408,24.408,25.875,25.1625,25.927,25.501575,25.6885,30.01975,32.306675,-2.28692,25.351575,25.283225,25.05795,25.170975,25.048325,244.949975,250.49025,-5.54032,25.26955,25.251075,25.056125,106.57875,116.364575,-9.7858125,25.1904,25.142375,196.60285,201.618625,-5.01578,2.39,0.78,0.66,1433.5,1384.9,4.16,0.66,1.25,3.75,376.16375,0.485693425,0.4582628,0.555563775,0.605,37898.5,14.9,0.1935954,-0.295471125,1.225,1136.5075,20787.67,5851.85,2099.136,619.25,1.4,1.49,1.6746,1.8892,1.4674,1.25
182742.8191,22.97453917,20663.61014,786820.8228,25.10617512,23.76557604,24.43656682,23.64138249,22.71000461,22.71000461,24.03801843,23.55702765,24.16956912,23.76039009,23.94549078,37.70621659,34.50212373,3.20407977,23.6147265,23.54203664,23.33231751,23.4451265,23.33134171,260.9466749,260.328159,0.618417558,23.5288553,23.50752834,23.33569931,110.1144585,119.7000053,-9.585543203,23.45803134,23.42029378,203.6459364,208.3106763,-4.664746129,2.43,0.89,0.75,1439.8,1476.4,4.10,0.65,1.25,3.75,353.7848733,0.381212808,0.392475148,0.515465475,0.572857143,35445.56221,13.93456221,0.203136036,-0.110019741,1.091935484,1140.746,20954.782,5864.668,2089.64,608.495,1.41,1.49,1.68975,1.88525,1.47125,1.25
